IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
132423,130322,Gabriela Rocío Álvarez Huerta,6,4,2,0
124857,123667,Brenda Judith García Valadéz,5,5,0,0
149203,143821,Ana Patricia Becerra Acosta,4,4,0,0
170622,162293,Sinoxolo Cesane ,4,4,1,0
170245,162165,Laisha Michelle Espinosa González,2,2,0,0
174288,165362,Enekia Kasonga Lunyamila ,2,2,0,0
124812,123537,Andrea Alejandra Balderas Sorchini,1,1,0,0
124868,123662,María Fernanda Tarango Arellano,1,1,0,0
132486,130501,Paola Selvas Ríos,1,1,0,0
158171,151997,Samantha López Archila,1,1,0,0
172006,163795,Chinyelu Bessum Asher ,1,1,0,0
176456,167458,Olga Massombo ,1,1,0,0
