IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
130236,128344,Paola Chavero Álvarez,7,1,0,0
169742,160479,Deneisha Selena Blackwood ,5,0,0,0
150640,145171,Stephanie Mariana Ribeiro ,4,1,1,0
172134,163662,Carina Felipe Silva,3,0,0,0
125411,123941,Dania Belén Padilla Alemán,2,0,0,0
131985,130537,Heidi Karina González Vite,2,2,0,0
149052,143813,Alejandra Guerrero Camacho,2,0,0,0
129996,128475,Wendy Estefani Toledo Barroso,1,0,0,0
139292,136311,Laura Herrera Alonso,1,0,0,0
155177,148760,Ana Mendoza González,1,0,0,0
156307,150190,Yaneisy Rodríguez Pérez,1,0,0,0
156466,149886,Aerial Lynndonna Chavarin ,1,0,0,0
162985,155586,Cristina María Torres Manilow,1,0,0,0
170352,161995,Lennon Bustamante Moreira,1,1,0,0
