IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
158618,152051,Brenda Woch Da Graca Rodrigues,8,1,0,0
170615,162319,Michaela Batya Bisi Abam ,4,0,0,0
139273,136312,Natalia Macías Valadez Aguilera,3,0,0,0
144143,140130,Marlyn Margoth Campa Ávalos,3,0,0,0
172031,163650,Ricardo José Belli ,3,0,0,0
124811,123711,Diana Paola Monroy Cabrera,2,0,0,0
136766,134312,Cinthya Peraza Fernández,2,0,0,0
164159,158739,Mitsy Nayelli Ramirez Lara,2,0,0,0
173458,164903,Amandine Henry ,2,1,0,0
124764,123577,Liliana Rodríguez Alejo,1,0,0,0
132285,130757,Mariel Román Pacheco,1,0,0,0
132400,130380,Brenda Vega Garcia,1,0,1,0
138811,136273,Sumiko Gutiérrez Vera,1,0,0,0
138935,136315,Natalia Inés Gómez Junco Esteva,1,0,0,0
139221,136222,Samantha Kassandra Calvillo Hernández,1,0,0,0
154882,149176,Daniela Gallegos Zozaya,1,0,0,0
155810,149705,Briseida Jisette Velasquez Hernandez,1,0,0,0
172030,163649,Carlos Gustavo Mendes Campioli,1,0,1,0
172183,163681,Vanessa Fernanda Da Silva ,0,0,1,0
