IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
125423,124051,Karen Irasema Luna De Los Santos,6,2,0,0
156080,150035,Nicolette Andrea Hernández Sippel,3,1,0,0
139708,136791,Jocelyn Marie Orejel Tavares,2,0,0,0
172647,165028,Irene Guerrero Sanmartin,2,0,0,0
176433,166622,Chidinma Nkeruka Okeke ,2,1,0,0
124873,123655,Nancy Guadalupe Antonio López,1,1,1,0
125502,124238,Mariana Cadena Calvillo,1,0,0,0
132470,130318,Aylin Ariana Aviléz Peña,1,0,0,0
139486,136800,Miah Alexia Zuazua Martínez,1,1,0,0
150310,144875,Angelique Montserrat Saldivar Pavón,1,0,0,0
150311,144897,Kiana Angélica Palacios Hernández,1,1,0,0
154863,145658,Sarah Jacquelyn Luebbert ,1,0,0,0
156292,150026,Scarlett Nefer Camberos Becerra,1,0,0,0
157994,152007,Sabrina Marie Enciso ,1,0,0,0
178376,169174,Priscila Flor Da Silva ,1,1,0,0
