IDAFLDDRVD,NUI,NOMBRE,TA,TA_REGLAMENTO,TR,TRPC
130237,128425,Damaris Michel Godínez García,5,0,0,0
125533,124317,Alicia Cervantes Herrera,4,0,0,0
129953,128458,Daniela Delgado Félix,4,1,0,0
139241,136265,Diana Jaqueline Rodríguez Carrillo,4,1,0,0
125542,124303,Esbeydi Viridiana Salazar Suaste,3,0,0,0
124881,123726,Yamile Azenek Franco Tirado,2,0,0,0
124951,123731,Christian Carolina Jaramillo Quintero,2,0,0,0
130409,128391,Angélica Araceli Torres Muñoz,2,0,0,0
124774,123686,Karla Lorena Martínez Díaz,1,1,0,0
124830,123715,Joselyn De La Rosa Cruz,1,0,0,0
132054,130313,Kinberly Paloma Guzmán Prado,1,1,0,0
139365,136428,Casandra Montero Rodríguez,1,1,0,0
149199,143812,Gabriela Valenzuela Chaparro,1,0,0,0
154600,149092,Ivonne Areli González Rendón,1,1,0,0
172303,163915,Amalia Phoebe López Rodríguez,1,0,0,0
